RECORD_ID,QUARTER,YEAR,BRAND,MARKET_SHARE_PERCENT,UNITS_SHIPPED,SEGMENT,AVERAGE_PRICE
37,Q2,2022,OPPO,11.78,1178000,Premium (>$400),974
38,Q2,2022,OPPO,7.93,793000,Mid-range ($200-$400),882
39,Q2,2022,OPPO,22.38,2238000,Budget (<$200),1052
40,Q2,2022,OnePlus,14.28,1428000,Premium (>$400),661
41,Q2,2022,OnePlus,20.93,2093000,Mid-range ($200-$400),814
42,Q2,2022,OnePlus,11.04,1104000,Budget (<$200),539
43,Q2,2022,Realme,12.43,1243000,Premium (>$400),791
44,Q2,2022,Realme,20.66,2066000,Mid-range ($200-$400),822
45,Q2,2022,Realme,8.13,813000,Budget (<$200),1058
46,Q2,2022,Others,9.85,985000,Premium (>$400),890
47,Q2,2022,Others,15.55,1555000,Mid-range ($200-$400),1176
48,Q2,2022,Others,24.18,2418000,Budget (<$200),1190
49,Q3,2022,Apple,48.93,4893000,Premium (>$400),223
50,Q3,2022,Apple,4.48,448000,Mid-range ($200-$400),678
51,Q3,2022,Apple,1.41,141000,Budget (<$200),449
52,Q3,2022,Samsung,16.86,1686000,Premium (>$400),842
53,Q3,2022,Samsung,20.65,2064999,Mid-range ($200-$400),357
54,Q3,2022,Samsung,23.14,2314000,Budget (<$200),937
55,Q3,2022,Xiaomi,11.15,1115000,Premium (>$400),267
56,Q3,2022,Xiaomi,17.93,1793000,Mid-range ($200-$400),222
57,Q3,2022,Xiaomi,10.32,1032000,Budget (<$200),696
58,Q3,2022,Vivo,19.09,1909000,Premium (>$400),563
59,Q3,2022,Vivo,16.85,1685000,Mid-range ($200-$400),284
60,Q3,2022,Vivo,14.36,1436000,Budget (<$200),986
61,Q3,2022,OPPO,10.33,1033000,Premium (>$400),1167
62,Q3,2022,OPPO,16.94,1694000,Mid-range ($200-$400),553
63,Q3,2022,OPPO,18.96,1896000,Budget (<$200),687
64,Q3,2022,OnePlus,6.16,616000,Premium (>$400),448
65,Q3,2022,OnePlus,20.26,2026000,Mid-range ($200-$400),976
66,Q3,2022,OnePlus,8.83,883000,Budget (<$200),794
67,Q3,2022,Realme,17.39,1739000,Premium (>$400),284
68,Q3,2022,Realme,7.1,710000,Mid-range ($200-$400),865
69,Q3,2022,Realme,17.14,1714000,Budget (<$200),380
70,Q3,2022,Others,11.14,1114000,Premium (>$400),395
71,Q3,2022,Others,19.96,1996000,Mid-range ($200-$400),1120
72,Q3,2022,Others,21.1,2110000,Budget (<$200),682
73,Q4,2022,Apple,50.45,5045000,Premium (>$400),972
74,Q4,2022,Apple,4.96,496000,Mid-range ($200-$400),327
75,Q4,2022,Apple,4.38,438000,Budget (<$200),796
76,Q4,2022,Samsung,20.0,2000000,Premium (>$400),1122
77,Q4,2022,Samsung,7.1,710000,Mid-range ($200-$400),1068
78,Q4,2022,Samsung,11.52,1152000,Budget (<$200),946
79,Q4,2022,Xiaomi,5.77,577000,Premium (>$400),964
80,Q4,2022,Xiaomi,15.17,1517000,Mid-range ($200-$400),645
81,Q4,2022,Xiaomi,5.65,565000,Budget (<$200),854
82,Q4,2022,Vivo,9.88,988000,Premium (>$400),1138
83,Q4,2022,Vivo,11.44,1144000,Mid-range ($200-$400),856
84,Q4,2022,Vivo,6.31,631000,Budget (<$200),265
85,Q4,2022,OPPO,24.24,2424000,Premium (>$400),706
86,Q4,2022,OPPO,8.87,886999,Mid-range ($200-$400),1150
87,Q4,2022,OPPO,6.99,699000,Budget (<$200),809
88,Q4,2022,OnePlus,17.66,1766000,Premium (>$400),732
89,Q4,2022,OnePlus,6.93,693000,Mid-range ($200-$400),649
90,Q4,2022,OnePlus,15.95,1595000,Budget (<$200),973
91,Q4,2022,Realme,19.95,1995000,Premium (>$400),716
92,Q4,2022,Realme,9.53,952999,Mid-range ($200-$400),683
93,Q4,2022,Realme,8.68,868000,Budget (<$200),1056
94,Q4,2022,Others,20.01,2001000,Premium (>$400),537
95,Q4,2022,Others,19.33,1932999,Mid-range ($200-$400),707
96,Q4,2022,Others,9.26,926000,Budget (<$200),713
97,Q1,2023,Apple,54.56,5456000,Premium (>$400),685
98,Q1,2023,Apple,2.1,210000,Mid-range ($200-$400),746
99,Q1,2023,Apple,2.14,214000,Budget (<$200),1175
100,Q1,2023,Samsung,18.32,1832000,Premium (>$400),895
101,Q1,2023,Samsung,10.27,1027000,Mid-range ($200-$400),923
102,Q1,2023,Samsung,23.15,2315000,Budget (<$200),227
103,Q1,2023,Xiaomi,10.69,1069000,Premium (>$400),870
104,Q1,2023,Xiaomi,12.57,1257000,Mid-range ($200-$400),1114
105,Q1,2023,Xiaomi,19.42,1942000,Budget (<$200),751
106,Q1,2023,Vivo,22.53,2253000,Premium (>$400),939
107,Q1,2023,Vivo,7.9,790000,Mid-range ($200-$400),885
108,Q1,2023,Vivo,14.83,1483000,Budget (<$200),972
109,Q1,2023,OPPO,22.67,2267000,Premium (>$400),479
110,Q1,2023,OPPO,14.61,1461000,Mid-range ($200-$400),255
111,Q1,2023,OPPO,23.06,2306000,Budget (<$200),1007
112,Q1,2023,OnePlus,24.27,2427000,Premium (>$400),1038
113,Q1,2023,OnePlus,23.54,2354000,Mid-range ($200-$400),786
114,Q1,2023,OnePlus,7.49,749000,Budget (<$200),330
115,Q1,2023,Realme,6.1,610000,Premium (>$400),638
116,Q1,2023,Realme,17.71,1771000,Mid-range ($200-$400),950
117,Q1,2023,Realme,18.72,1872000,Budget (<$200),806
118,Q1,2023,Others,8.73,873000,Premium (>$400),599
119,Q1,2023,Others,12.31,1231000,Mid-range ($200-$400),461
120,Q1,2023,Others,13.45,1345000,Budget (<$200),1085
121,Q2,2023,Apple,54.44,5444000,Premium (>$400),693
122,Q2,2023,Apple,1.64,164000,Mid-range ($200-$400),339
123,Q2,2023,Apple,4.22,422000,Budget (<$200),681
124,Q2,2023,Samsung,16.54,1654000,Premium (>$400),1086
125,Q2,2023,Samsung,10.63,1063000,Mid-range ($200-$400),1013
126,Q2,2023,Samsung,15.78,1578000,Budget (<$200),750
127,Q2,2023,Xiaomi,18.09,1809000,Premium (>$400),392
128,Q2,2023,Xiaomi,12.93,1293000,Mid-range ($200-$400),1085
129,Q2,2023,Xiaomi,22.14,2214000,Budget (<$200),750
130,Q2,2023,Vivo,15.65,1565000,Premium (>$400),1015
131,Q2,2023,Vivo,5.73,573000,Mid-range ($200-$400),1027
132,Q2,2023,Vivo,5.98,598000,Budget (<$200),888
133,Q2,2023,OPPO,18.26,1826000,Premium (>$400),655
134,Q2,2023,OPPO,5.2,520000,Mid-range ($200-$400),923
135,Q2,2023,OPPO,8.27,827000,Budget (<$200),1105
136,Q2,2023,OnePlus,17.75,1775000,Premium (>$400),1191
137,Q2,2023,OnePlus,10.57,1057000,Mid-range ($200-$400),997
138,Q2,2023,OnePlus,12.63,1263000,Budget (<$200),1014
139,Q2,2023,Realme,6.15,615000,Premium (>$400),394
140,Q2,2023,Realme,9.94,994000,Mid-range ($200-$400),275
141,Q2,2023,Realme,16.51,1651000,Budget (<$200),711
142,Q2,2023,Others,13.8,1380000,Premium (>$400),715
143,Q2,2023,Others,13.63,1363000,Mid-range ($200-$400),416
144,Q2,2023,Others,11.31,1131000,Budget (<$200),519
145,Q3,2023,Apple,47.72,4772000,Premium (>$400),945
146,Q3,2023,Apple,4.73,473000,Mid-range ($200-$400),835
147,Q3,2023,Apple,1.16,115999,Budget (<$200),630
148,Q3,2023,Samsung,23.15,2315000,Premium (>$400),881
149,Q3,2023,Samsung,13.76,1376000,Mid-range ($200-$400),628
150,Q3,2023,Samsung,10.13,1013000,Budget (<$200),868
151,Q3,2023,Xiaomi,23.9,2390000,Premium (>$400),635
152,Q3,2023,Xiaomi,6.54,654000,Mid-range ($200-$400),438
153,Q3,2023,Xiaomi,11.85,1185000,Budget (<$200),1139
154,Q3,2023,Vivo,12.02,1202000,Premium (>$400),458
155,Q3,2023,Vivo,6.33,633000,Mid-range ($200-$400),526
156,Q3,2023,Vivo,19.94,1994000,Budget (<$200),949
157,Q3,2023,OPPO,10.14,1014000,Premium (>$400),268
158,Q3,2023,OPPO,18.91,1891000,Mid-range ($200-$400),763
159,Q3,2023,OPPO,9.62,961999,Budget (<$200),658
160,Q3,2023,OnePlus,6.09,609000,Premium (>$400),233
161,Q3,2023,OnePlus,20.0,2000000,Mid-range ($200-$400),343
162,Q3,2023,OnePlus,14.01,1401000,Budget (<$200),446
163,Q3,2023,Realme,23.55,2355000,Premium (>$400),523
164,Q3,2023,Realme,13.71,1371000,Mid-range ($200-$400),1113
165,Q3,2023,Realme,8.24,824000,Budget (<$200),561
166,Q3,2023,Others,16.41,1641000,Premium (>$400),782
167,Q3,2023,Others,13.49,1349000,Mid-range ($200-$400),1099
168,Q3,2023,Others,17.22,1722000,Budget (<$200),525
169,Q4,2023,Apple,45.82,4582000,Premium (>$400),484
170,Q4,2023,Apple,3.27,327000,Mid-range ($200-$400),672
171,Q4,2023,Apple,4.84,484000,Budget (<$200),785
172,Q4,2023,Samsung,10.08,1008000,Premium (>$400),900
173,Q4,2023,Samsung,17.68,1768000,Mid-range ($200-$400),822
174,Q4,2023,Samsung,18.51,1851000,Budget (<$200),484
175,Q4,2023,Xiaomi,10.36,1036000,Premium (>$400),1114
176,Q4,2023,Xiaomi,21.14,2114000,Mid-range ($200-$400),770
177,Q4,2023,Xiaomi,17.05,1705000,Budget (<$200),546
178,Q4,2023,Vivo,18.61,1861000,Premium (>$400),812
179,Q4,2023,Vivo,20.55,2055000,Mid-range ($200-$400),445
180,Q4,2023,Vivo,21.74,2174000,Budget (<$200),252
181,Q4,2023,OPPO,9.26,926000,Premium (>$400),351
182,Q4,2023,OPPO,23.22,2322000,Mid-range ($200-$400),811
183,Q4,2023,OPPO,5.66,566000,Budget (<$200),1013
184,Q4,2023,OnePlus,19.5,1950000,Premium (>$400),306
185,Q4,2023,OnePlus,13.92,1392000,Mid-range ($200-$400),839
186,Q4,2023,OnePlus,16.29,1629000,Budget (<$200),679
187,Q4,2023,Realme,24.1,2410000,Premium (>$400),670
188,Q4,2023,Realme,11.15,1115000,Mid-range ($200-$400),812
189,Q4,2023,Realme,19.45,1945000,Budget (<$200),1025
190,Q4,2023,Others,19.79,1979000,Premium (>$400),771
191,Q4,2023,Others,5.43,543000,Mid-range ($200-$400),868
192,Q4,2023,Others,18.0,1800000,Budget (<$200),414
193,Q1,2024,Apple,53.39,5339000,Premium (>$400),408
194,Q1,2024,Apple,3.46,346000,Mid-range ($200-$400),1043
195,Q1,2024,Apple,1.69,169000,Budget (<$200),731
196,Q1,2024,Samsung,11.6,1160000,Premium (>$400),559
197,Q1,2024,Samsung,12.5,1250000,Mid-range ($200-$400),321
198,Q1,2024,Samsung,24.61,2461000,Budget (<$200),1183
199,Q1,2024,Xiaomi,5.44,544000,Premium (>$400),1051
200,Q1,2024,Xiaomi,11.13,1113000,Mid-range ($200-$400),890
201,Q1,2024,Xiaomi,16.45,1645000,Budget (<$200),304
202,Q1,2024,Vivo,7.53,753000,Premium (>$400),1029
203,Q1,2024,Vivo,5.23,523000,Mid-range ($200-$400),937
204,Q1,2024,Vivo,7.56,756000,Budget (<$200),605
205,Q1,2024,OPPO,13.81,1381000,Premium (>$400),482
206,Q1,2024,OPPO,17.73,1773000,Mid-range ($200-$400),231
207,Q1,2024,OPPO,9.24,924000,Budget (<$200),872
208,Q1,2024,OnePlus,5.17,517000,Premium (>$400),267
209,Q1,2024,OnePlus,20.19,2019000,Mid-range ($200-$400),871
210,Q1,2024,OnePlus,8.21,821000,Budget (<$200),600
211,Q1,2024,Realme,9.69,969000,Premium (>$400),547
212,Q1,2024,Realme,11.34,1134000,Mid-range ($200-$400),274
213,Q1,2024,Realme,16.1,1610000,Budget (<$200),679
214,Q1,2024,Others,22.84,2284000,Premium (>$400),389
215,Q1,2024,Others,6.56,656000,Mid-range ($200-$400),366
216,Q1,2024,Others,20.07,2007000,Budget (<$200),357
217,Q2,2024,Apple,48.43,4843000,Premium (>$400),876
218,Q2,2024,Apple,4.71,471000,Mid-range ($200-$400),223
219,Q2,2024,Apple,2.78,278000,Budget (<$200),249
220,Q2,2024,Samsung,20.65,2064999,Premium (>$400),476
221,Q2,2024,Samsung,21.45,2145000,Mid-range ($200-$400),417
222,Q2,2024,Samsung,13.17,1317000,Budget (<$200),355
223,Q2,2024,Xiaomi,6.25,625000,Premium (>$400),1094
224,Q2,2024,Xiaomi,8.61,861000,Mid-range ($200-$400),372
225,Q2,2024,Xiaomi,13.02,1302000,Budget (<$200),353
226,Q2,2024,Vivo,17.21,1721000,Premium (>$400),282
227,Q2,2024,Vivo,24.71,2471000,Mid-range ($200-$400),495
228,Q2,2024,Vivo,22.25,2225000,Budget (<$200),862
229,Q2,2024,OPPO,10.17,1017000,Premium (>$400),535
230,Q2,2024,OPPO,6.12,612000,Mid-range ($200-$400),890
231,Q2,2024,OPPO,13.21,1321000,Budget (<$200),596
232,Q2,2024,OnePlus,15.57,1557000,Premium (>$400),807
233,Q2,2024,OnePlus,23.97,2397000,Mid-range ($200-$400),713
234,Q2,2024,OnePlus,15.0,1500000,Budget (<$200),1155
235,Q2,2024,Realme,16.68,1668000,Premium (>$400),577
236,Q2,2024,Realme,16.81,1680999,Mid-range ($200-$400),1020
237,Q2,2024,Realme,17.77,1777000,Budget (<$200),877
238,Q2,2024,Others,8.74,874000,Premium (>$400),241
239,Q2,2024,Others,22.32,2232000,Mid-range ($200-$400),359
240,Q2,2024,Others,14.36,1436000,Budget (<$200),317
241,Q3,2024,Apple,46.0,4600000,Premium (>$400),952
242,Q3,2024,Apple,4.7,470000,Mid-range ($200-$400),1137
243,Q3,2024,Apple,3.72,372000,Budget (<$200),1198
244,Q3,2024,Samsung,18.16,1816000,Premium (>$400),1194
245,Q3,2024,Samsung,24.42,2442000,Mid-range ($200-$400),1018
246,Q3,2024,Samsung,9.86,986000,Budget (<$200),1189
247,Q3,2024,Xiaomi,12.24,1224000,Premium (>$400),1095
248,Q3,2024,Xiaomi,20.37,2037000,Mid-range ($200-$400),364
249,Q3,2024,Xiaomi,11.81,1181000,Budget (<$200),526
250,Q3,2024,Vivo,22.62,2262000,Premium (>$400),395
251,Q3,2024,Vivo,17.76,1776000,Mid-range ($200-$400),482
252,Q3,2024,Vivo,12.5,1250000,Budget (<$200),873
253,Q3,2024,OPPO,23.95,2395000,Premium (>$400),675
254,Q3,2024,OPPO,5.37,537000,Mid-range ($200-$400),396
255,Q3,2024,OPPO,12.87,1287000,Budget (<$200),307
256,Q3,2024,OnePlus,21.87,2187000,Premium (>$400),261
257,Q3,2024,OnePlus,17.53,1753000,Mid-range ($200-$400),568
258,Q3,2024,OnePlus,23.76,2376000,Budget (<$200),228
259,Q3,2024,Realme,12.91,1291000,Premium (>$400),658
260,Q3,2024,Realme,8.8,880000,Mid-range ($200-$400),600
261,Q3,2024,Realme,5.4,540000,Budget (<$200),835
262,Q3,2024,Others,24.79,2479000,Premium (>$400),756
263,Q3,2024,Others,16.9,1689999,Mid-range ($200-$400),1160
264,Q3,2024,Others,12.71,1271000,Budget (<$200),828
265,Q4,2024,Apple,52.7,5270000,Premium (>$400),612
266,Q4,2024,Apple,1.51,151000,Mid-range ($200-$400),843
267,Q4,2024,Apple,2.03,202999,Budget (<$200),322
268,Q4,2024,Samsung,17.09,1709000,Premium (>$400),402
269,Q4,2024,Samsung,16.36,1636000,Mid-range ($200-$400),525
270,Q4,2024,Samsung,16.79,1679000,Budget (<$200),802
271,Q4,2024,Xiaomi,17.93,1793000,Premium (>$400),839
272,Q4,2024,Xiaomi,6.17,617000,Mid-range ($200-$400),268
273,Q4,2024,Xiaomi,9.24,924000,Budget (<$200),1051
274,Q4,2024,Vivo,19.31,1930999,Premium (>$400),381
275,Q4,2024,Vivo,23.4,2340000,Mid-range ($200-$400),1075
276,Q4,2024,Vivo,22.7,2270000,Budget (<$200),288
277,Q4,2024,OPPO,21.33,2133000,Premium (>$400),480
278,Q4,2024,OPPO,22.4,2240000,Mid-range ($200-$400),232
279,Q4,2024,OPPO,23.9,2390000,Budget (<$200),1018
280,Q4,2024,OnePlus,18.05,1805000,Premium (>$400),378
281,Q4,2024,OnePlus,21.91,2191000,Mid-range ($200-$400),632
282,Q4,2024,OnePlus,7.25,725000,Budget (<$200),1093
283,Q4,2024,Realme,7.39,739000,Premium (>$400),689
284,Q4,2024,Realme,8.17,817000,Mid-range ($200-$400),602
285,Q4,2024,Realme,24.33,2433000,Budget (<$200),369
286,Q4,2024,Others,17.14,1714000,Premium (>$400),1121
287,Q4,2024,Others,21.77,2177000,Mid-range ($200-$400),319
288,Q4,2024,Others,6.85,685000,Budget (<$200),1094
